createdAt,location,following,followers,totaltweets,retweetcount,text
2020-04-15 04:59:42,"San Francisco, CA",86,58,70,0,"Top 20 NASDAQ gainers for Tuesday April 14th, 2020 (&gt;=5,000,000 in volume and &gt;$5 per share)

$TQQQ $TLRY $AMD $INSG $SIRI $PEP $NFLX $AMZN $PENN $QCOM $WBA $NVDA $NTRA $GILD $MSFT $MDLZ $CMCSA $AAPL $QQQ $MAR https://t.co/Y8l1HuBdOE"
2020-04-15 03:42:01,Global,5041,5610,31645,0,"Notable Analyst Upgrades and Downgrades for Week of April 6, 2020 https://t.co/tDnVU75dNw $AAL $GPC $LOW $LUV $O $OHI $RCI $SBUX $UL $UPS $WBA $WU #investing https://t.co/nqnUllItmy"
2020-04-15 01:17:48,,2564,1161,9779,0,@GetRichBrothers ......Agree I was going to dip into KO back in March.....went with $CSCO $WBA $JPM $MS and $DGX instead......saving some powder in case we re-test lows
2020-04-15 01:15:38,,2,4547,666981,2,RT @PersonsPlanet: Mid-April Market Outlook: Heres my list of stocks and the entry style I'm advising clients to use to build a portfolio a…
2020-04-15 00:27:53,KY,11078,10033,21540,2,RT @PersonsPlanet: Mid-April Market Outlook: Heres my list of stocks and the entry style I'm advising clients to use to build a portfolio a…
2020-04-14 23:35:12,,16,19,244,0,Can $jpm go higher after 4/14: $spy $dia $uso $gld $iwm $ezu $smh $fxi $xly $xle $xlf $xlk $xlp $xlb $xli $xlu $xlv $bac $dis $axp $gs $V $hd $wmt $mmm $wba $ba $cat $ibm $aapl $jnj $nflx $tsla $twtr $amzn $pfe $mrk $unh $ups $mat $tpr $aal $fslr $cvx $xom $slb $gm $pypl $sina
2020-04-14 23:28:56,,16,19,244,0,@realDonaldTrump stop @WHO funding: $spy $dia $uso $gld $iwm $ezu $smh $fxi $xly $xle $xlf $xlk $xlp $xlb $xli $xlu $xlv $jpm $dis $axp $gs $V $hd $wmt $mmm $wba $ba $cat $ibm $aapl $jnj $nflx $tsla $twtr $amzn $pfe $mrk $unh $ups $mat $tpr $aal $fslr $cvx $xom $slb $gm $pypl
2020-04-14 23:18:01,"New York, USA",40,1658,83200,0,Short sale volume(not short interest) for $WBA on 2020-04-13 is 51%. https://t.co/wAlOStJ117 $RAD 65% $CVS 32%
2020-04-14 22:22:17,"Anywhere, so don't follow.",25,486,24996,0,"Is Walgreens Boots Alliance, Inc. $WBA Overpaying Its CEO?

Is a frog's 🐸 ass watertight?

https://t.co/K35Digp7hp"
2020-04-14 21:25:38,,0,1627,430944,0,"$WBA Walgreens Boots Alliance, Inc. SEC Filing: Form 424B5 https://t.co/KtvpwYJy5b"
2020-04-14 19:55:02,Worldwide,39,4857,280200,0,"Walgreen Co, $WBA, is up 5.2% - https://t.co/s2JBh53Oy6"
2020-04-14 19:53:02,,213,19,964,10,"RT @MarcoDaCostaFX: #WallStreet 🇺🇸 Most important confirmed #earnings dates for April: 

$CHWY $WBA $NFLX $KMX $STZ $BAC $LW $JPM $F $INTC…"
2020-04-14 19:18:28,"North Palm Beach, Fl",162,11292,2664,2,"Mid-April Market Outlook: Heres my list of stocks and the entry style I'm advising clients to use to build a portfolio as well as the technical outlook for the $SPY; $AMD, $IBM, $GDXJ, $WBA, $DELL, $AEP, $FIZZ, $ABBV, $UPS #beatthebeast!https://t.co/Kth0Ixv3oU via @YouTube"
2020-04-14 18:19:37,,16,19,244,0,Recovery type: $spy $dia $uso $gld $iwm $ezu $smh $fxi $xly $xle $xlf $xlk $xlp $xlb $xli $xlu $xlv $jpm $dis $axp $gs $V $hd $wmt $mmm $wba $ba $cat $ibm $aapl $jnj $nflx $tsla $twtr $amzn $pfe $mrk $unh $ups $mat $tpr $aal $fslr $cvx $xom $slb $gm $pypl $sina $Z
2020-04-14 17:55:08,"Suwanee, GA",927,1211,10285,0,"$MDCL $1.60 +17% - Medicine Man Colorado Soaring today - Acquisitions to close THIS QUARTER!  $PG $MRK $MYL $VRX $VRTX $BIIB $BMY $JNJ $CELG $AKRX $REGN $JNJ $PFE $GSK $LLY $ABT $SNY $NVO $NVS $WBA $RAD $HLF $CJJD $GNC $DPLO $IPXL $TSCO $BBBY $RGS $TEVA $RDY $MNK $ASMB
$TCK $CC https://t.co/N3Gj0kETDS"
